platform,status,duration_bucket,count
bilibili,DISCOVERED,unknown,182
bilibili,READY_FOR_REVIEW,<60s,4
facebook,DISCOVERED,unknown,11
facebook,PRODUCTION_FAILED,unknown,3
facebook,READY_FOR_REVIEW,60-1800s,16
facebook,READY_FOR_REVIEW,<60s,2
facebook,READY_FOR_REVIEW,unknown,4
tiktok,DISCOVERED,unknown,5
tiktok,DOWNLOAD_FAILED,unknown,1
tiktok,READY_FOR_REVIEW,60-1800s,8
tiktok,READY_FOR_REVIEW,<60s,4
tiktok,READY_FOR_REVIEW,unknown,3
youtube,APPROVED,60-1800s,1
youtube,DISCOVERED,60-1800s,257
youtube,DISCOVERED,<60s,11
youtube,DISCOVERED,unknown,12
youtube,DOWNLOADED,60-1800s,1
youtube,DOWNLOAD_FAILED,60-1800s,14
youtube,DOWNLOAD_FAILED,unknown,2
youtube,PRODUCTION_FAILED,60-1800s,1
youtube,READY_FOR_REVIEW,60-1800s,5
youtube,READY_FOR_REVIEW,<60s,18
youtube,TOO_LONG,>1800s,78
